time,type,count
2016-02-20,ReleaseEvent,1955
2016-02-20,WatchEvent,46971
2016-02-20,DeleteEvent,11871
2016-02-20,MemberEvent,5099
2016-02-20,PullRequestEvent,32196
2016-02-20,GollumEvent,4348
2016-02-21,ForkEvent,16823
2016-02-21,ReleaseEvent,2285
2016-02-21,MemberEvent,2996
2016-02-21,PullRequestReviewCommentEvent,5917
2016-02-21,CommitCommentEvent,2717
2016-02-21,PushEvent,372363
2016-02-21,PublicEvent,537
2016-02-21,DeleteEvent,12258
2016-02-21,IssueCommentEvent,41950
2016-02-21,WatchEvent,53172
2016-02-21,PullRequestEvent,35676
2016-02-21,IssuesEvent,26474
2016-02-21,CreateEvent,90393
2016-02-21,GollumEvent,5266
2016-02-22,PublicEvent,867
2016-02-22,WatchEvent,78706
2016-02-22,ForkEvent,26977
2016-02-22,CreateEvent,125495
2016-02-22,IssueCommentEvent,82422
2016-02-22,IssuesEvent,39070
2016-02-22,CommitCommentEvent,4949
2016-02-22,ReleaseEvent,3392
2016-02-22,DeleteEvent,18796
2016-02-22,GollumEvent,7474
2016-02-22,PullRequestEvent,52895
2016-02-22,PullRequestReviewCommentEvent,16468
2016-02-22,MemberEvent,6204
2016-02-22,PushEvent,496761
2016-02-23,IssueCommentEvent,89134
2016-02-23,PullRequestReviewCommentEvent,18214
2016-02-23,ForkEvent,28814
2016-02-23,MemberEvent,6836
2016-02-23,PullRequestEvent,57333
2016-02-23,PublicEvent,858
2016-02-23,IssuesEvent,40664
2016-02-23,CreateEvent,132352
2016-02-23,PushEvent,504394
2016-02-23,GollumEvent,8092
2016-02-23,DeleteEvent,20213
2016-02-23,CommitCommentEvent,5277
2016-02-23,WatchEvent,82280
2016-02-23,ReleaseEvent,3284
2016-02-24,ReleaseEvent,3315
2016-02-24,MemberEvent,6631
2016-02-24,GollumEvent,7976
2016-02-24,IssueCommentEvent,91719
2016-02-24,PushEvent,503609
2016-02-24,CommitCommentEvent,5938
2016-02-24,ForkEvent,28465
